,exploration,adv_courses,Group,Area,Colab,Exp,Resouce,extracurriculars,help_others,confidence,feedback,communication,hours,class
255,No,Yes,Yes,Computer Vision,Dislike,2,Study Group,9,10,1,Written,Dislike,4,Professional
256,No,No,No,Computer Vision,Dislike,7,TextBook,1,4,8,Verbal,Dislike,3,Advanced
257,Yes,Yes,No,Data Analysis,Dislike,6,Peer Discussion,7,5,10,Verbal,Dislike,7,Advanced
258,Yes,Yes,Yes,Computer Vision,Dislike,3,Online,9,4,10,Verbal,Enjoy Communicating,3,Intermediate
259,No,Yes,Yes,Computer Vision,Highly Collaborative,5,Online,4,10,1,Written,Neutral,1,Intermediate
260,No,Yes,No,Computer Vision,Neutral,5,Online,9,5,3,Written,Dislike,4,Advanced
261,No,Yes,Yes,Data Analysis,Neutral,1,TextBook,9,6,2,Verbal,Dislike,6,Advanced
262,No,Yes,No,Computer Vision,Independent,6,TextBook,5,2,9,Written,Dislike,2,Advanced
263,No,Yes,No,Computer Vision,Neutral,6,TextBook,5,3,9,Written,Enjoy Communicating,5,Beginner
264,No,Yes,Yes,Data Analysis,Highly Collaborative,1,TextBook,9,10,6,Written,Dislike,3,Beginner
265,No,No,No,Deep Learning,Independent,6,Peer Discussion,9,9,2,Verbal,Enjoy Communicating,4,Intermediate
266,Yes,Yes,Yes,Computer Vision,Neutral,7,Study Group,7,2,6,Verbal,Enjoy Communicating,8,Advanced
267,Yes,Yes,No,Computer Vision,Neutral,5,Peer Discussion,9,6,2,Written,Neutral,7,Intermediate
268,Yes,Yes,No,Data Analysis,Highly Collaborative,2,Peer Discussion,8,5,10,Written,Dislike,7,Intermediate
269,Yes,No,No,Computer Vision,Neutral,2,Peer Discussion,5,7,7,Written,Enjoy Communicating,7,Intermediate
270,Yes,No,No,Computer Vision,Neutral,10,Online,5,8,2,Verbal,Enjoy Communicating,6,Beginner
271,No,Yes,Yes,Data Analysis,Dislike,4,TextBook,7,3,3,Verbal,Neutral,7,Beginner
272,Yes,No,No,Computer Vision,Highly Collaborative,10,Study Group,1,7,4,Written,Neutral,4,Professional
273,No,No,Yes,Data Analysis,Dislike,5,Peer Discussion,3,6,4,Written,Neutral,10,Advanced
274,Yes,Yes,Yes,Computer Vision,Highly Collaborative,1,TextBook,10,5,2,Verbal,Neutral,4,Advanced
275,Yes,No,No,NLP,Neutral,2,TextBook,6,7,10,Written,Neutral,9,Beginner
276,Yes,Yes,No,Computer Vision,Highly Collaborative,8,Study Group,7,6,8,Verbal,Enjoy Communicating,8,Professional
277,No,No,No,Data Analysis,Dislike,1,TextBook,5,4,1,Verbal,Dislike,3,Beginner
278,Yes,Yes,No,Computer Vision,Dislike,2,TextBook,3,5,10,Verbal,Dislike,3,Beginner
279,No,No,Yes,Data Analysis,Neutral,1,Online,4,2,6,Verbal,Enjoy Communicating,1,Advanced
280,Yes,Yes,Yes,Deep Learning,Highly Collaborative,3,Peer Discussion,2,1,2,Written,Enjoy Communicating,3,Beginner
281,Yes,Yes,No,NLP,Highly Collaborative,3,Peer Discussion,5,9,3,Verbal,Enjoy Communicating,1,Advanced
282,Yes,Yes,No,Data Analysis,Independent,9,Study Group,10,2,7,Verbal,Neutral,6,Advanced
283,No,No,No,Computer Vision,Neutral,10,Peer Discussion,1,7,2,Written,Dislike,1,Advanced
284,Yes,Yes,No,Data Analysis,Dislike,5,Study Group,9,9,9,Written,Neutral,3,Intermediate
285,No,Yes,Yes,Deep Learning,Dislike,5,Peer Discussion,4,3,3,Written,Dislike,6,Intermediate
286,Yes,No,No,Data Analysis,Independent,7,Study Group,7,2,9,Verbal,Dislike,7,Intermediate
287,Yes,No,Yes,Computer Vision,Highly Collaborative,2,Study Group,1,8,10,Verbal,Neutral,7,Beginner
288,No,Yes,No,Computer Vision,Neutral,3,Online,8,8,4,Verbal,Neutral,4,Advanced
289,No,No,No,NLP,Highly Collaborative,10,Study Group,8,8,8,Written,Dislike,2,Intermediate
290,Yes,Yes,No,Computer Vision,Independent,2,TextBook,3,4,9,Written,Enjoy Communicating,7,Beginner
291,No,Yes,No,NLP,Neutral,7,TextBook,7,3,1,Verbal,Enjoy Communicating,7,Intermediate
292,Yes,Yes,No,Data Analysis,Independent,9,Online,10,7,5,Verbal,Dislike,3,Intermediate
293,No,Yes,No,Deep Learning,Independent,4,Study Group,3,2,3,Verbal,Neutral,2,Beginner
294,No,No,Yes,NLP,Neutral,5,Study Group,6,1,7,Verbal,Enjoy Communicating,8,Professional
295,Yes,No,Yes,Deep Learning,Dislike,8,Study Group,3,4,3,Verbal,Enjoy Communicating,1,Advanced
296,Yes,No,No,Data Analysis,Independent,6,TextBook,7,7,6,Written,Enjoy Communicating,10,Intermediate
297,Yes,Yes,No,Deep Learning,Neutral,9,Online,6,6,1,Written,Dislike,6,Professional
298,No,Yes,No,Deep Learning,Highly Collaborative,5,Online,7,2,5,Written,Enjoy Communicating,5,Intermediate
299,No,Yes,No,Deep Learning,Highly Collaborative,3,TextBook,3,8,7,Written,Dislike,8,Beginner
300,Yes,Yes,Yes,Deep Learning,Neutral,9,Peer Discussion,3,8,3,Written,Neutral,1,Beginner
301,Yes,Yes,Yes,Data Analysis,Neutral,1,Peer Discussion,9,10,5,Verbal,Dislike,6,Intermediate
302,No,Yes,No,Deep Learning,Highly Collaborative,7,Online,10,3,4,Verbal,Neutral,8,Professional
303,Yes,Yes,Yes,Computer Vision,Highly Collaborative,5,TextBook,7,2,2,Verbal,Enjoy Communicating,8,Professional
304,Yes,Yes,Yes,NLP,Neutral,1,Peer Discussion,7,10,3,Verbal,Dislike,6,Professional
305,No,No,No,Computer Vision,Highly Collaborative,8,Online,5,9,6,Written,Neutral,4,Advanced
306,No,No,No,Deep Learning,Dislike,7,Peer Discussion,8,5,4,Written,Enjoy Communicating,9,Intermediate
307,Yes,No,No,Deep Learning,Highly Collaborative,9,Study Group,10,8,3,Written,Dislike,2,Intermediate
308,Yes,No,Yes,Computer Vision,Neutral,10,TextBook,4,3,2,Verbal,Enjoy Communicating,7,Intermediate
309,No,No,No,Data Analysis,Dislike,6,Peer Discussion,3,9,4,Verbal,Dislike,3,Advanced
310,Yes,Yes,No,NLP,Dislike,6,Study Group,3,3,5,Written,Enjoy Communicating,1,Advanced
311,No,Yes,Yes,Data Analysis,Independent,2,Study Group,2,3,10,Written,Neutral,8,Professional
312,No,No,Yes,NLP,Neutral,2,Peer Discussion,6,9,10,Verbal,Dislike,10,Professional
313,Yes,No,No,Data Analysis,Independent,7,Study Group,5,7,6,Written,Dislike,8,Intermediate
314,Yes,Yes,Yes,Data Analysis,Neutral,9,Study Group,1,5,5,Verbal,Neutral,9,Advanced
315,No,No,No,Computer Vision,Highly Collaborative,8,Study Group,6,4,6,Verbal,Neutral,8,Intermediate
316,No,Yes,No,Deep Learning,Dislike,9,Online,5,1,7,Written,Enjoy Communicating,10,Advanced
317,Yes,Yes,No,NLP,Highly Collaborative,8,Peer Discussion,3,2,3,Written,Dislike,9,Intermediate
318,No,No,Yes,Data Analysis,Highly Collaborative,6,Study Group,3,6,6,Verbal,Dislike,8,Beginner
319,Yes,No,Yes,Computer Vision,Highly Collaborative,1,Peer Discussion,1,8,3,Verbal,Neutral,1,Professional
320,No,No,Yes,Deep Learning,Neutral,5,Online,2,3,2,Verbal,Dislike,8,Intermediate
321,No,No,No,NLP,Neutral,10,Peer Discussion,6,4,2,Written,Neutral,2,Advanced
322,No,Yes,Yes,Deep Learning,Highly Collaborative,4,Online,6,1,4,Written,Neutral,8,Professional
323,No,Yes,Yes,Deep Learning,Dislike,3,TextBook,9,6,4,Written,Dislike,9,Professional
324,No,No,No,Deep Learning,Dislike,8,TextBook,10,3,5,Written,Dislike,1,Beginner
325,Yes,Yes,Yes,Computer Vision,Neutral,9,Online,7,8,3,Written,Dislike,5,Beginner
326,No,No,No,Deep Learning,Independent,8,TextBook,10,8,3,Written,Neutral,4,Advanced
327,Yes,Yes,Yes,NLP,Highly Collaborative,3,Online,9,3,1,Verbal,Neutral,4,Beginner
328,Yes,Yes,No,Computer Vision,Highly Collaborative,5,Online,7,8,3,Verbal,Neutral,5,Professional
329,Yes,Yes,No,Deep Learning,Neutral,1,TextBook,2,1,9,Verbal,Dislike,7,Advanced
330,No,Yes,No,NLP,Dislike,1,Online,5,8,5,Written,Neutral,5,Intermediate
331,Yes,No,Yes,Deep Learning,Neutral,2,Peer Discussion,4,7,10,Written,Enjoy Communicating,1,Beginner
332,No,Yes,No,NLP,Neutral,10,TextBook,4,8,5,Written,Dislike,8,Beginner
333,No,Yes,Yes,Computer Vision,Independent,6,Online,7,2,5,Written,Dislike,3,Intermediate
334,Yes,No,No,Data Analysis,Dislike,2,TextBook,8,5,5,Written,Enjoy Communicating,6,Professional
335,No,Yes,No,Data Analysis,Neutral,8,Online,3,4,3,Written,Neutral,9,Professional
336,Yes,No,Yes,Computer Vision,Dislike,7,Study Group,3,4,1,Verbal,Neutral,10,Advanced
337,No,Yes,Yes,Deep Learning,Dislike,8,Study Group,8,2,5,Verbal,Neutral,3,Professional
338,Yes,No,Yes,Data Analysis,Highly Collaborative,3,TextBook,3,3,3,Written,Dislike,7,Intermediate
339,Yes,Yes,No,NLP,Neutral,7,Peer Discussion,2,4,3,Verbal,Neutral,5,Intermediate
340,No,Yes,No,Deep Learning,Highly Collaborative,10,TextBook,2,6,8,Written,Neutral,7,Advanced
341,Yes,Yes,Yes,Data Analysis,Neutral,2,Peer Discussion,7,2,3,Written,Neutral,8,Beginner
342,Yes,Yes,No,Computer Vision,Highly Collaborative,10,Online,4,8,4,Written,Dislike,9,Professional
343,No,No,No,NLP,Highly Collaborative,6,TextBook,4,4,9,Verbal,Enjoy Communicating,2,Professional
344,No,Yes,Yes,Deep Learning,Dislike,4,Peer Discussion,8,8,5,Verbal,Enjoy Communicating,3,Advanced
345,No,Yes,No,Computer Vision,Neutral,1,Online,6,3,2,Verbal,Dislike,5,Advanced
346,Yes,Yes,No,Computer Vision,Highly Collaborative,1,TextBook,5,3,7,Written,Dislike,7,Advanced
347,Yes,Yes,No,NLP,Independent,1,Online,9,1,10,Verbal,Neutral,1,Professional
348,Yes,No,No,Deep Learning,Independent,9,TextBook,2,3,10,Verbal,Dislike,7,Professional
349,Yes,Yes,No,Computer Vision,Highly Collaborative,1,Study Group,8,2,5,Verbal,Neutral,9,Advanced
350,No,Yes,Yes,Computer Vision,Dislike,4,TextBook,8,3,1,Verbal,Dislike,3,Professional
351,No,No,No,Data Analysis,Neutral,3,Online,8,4,3,Written,Enjoy Communicating,7,Beginner
352,Yes,Yes,No,Computer Vision,Neutral,1,Study Group,3,6,1,Written,Enjoy Communicating,3,Beginner
353,Yes,Yes,Yes,Data Analysis,Dislike,10,Online,10,5,5,Verbal,Neutral,8,Professional
354,Yes,Yes,No,Computer Vision,Neutral,4,Study Group,4,6,9,Written,Dislike,4,Advanced
355,Yes,No,No,Computer Vision,Dislike,6,TextBook,3,8,2,Written,Neutral,6,Beginner
356,Yes,Yes,Yes,NLP,Dislike,4,Online,10,4,8,Written,Dislike,2,Intermediate
357,No,No,Yes,Data Analysis,Dislike,3,Online,1,9,1,Written,Neutral,10,Professional
358,Yes,Yes,Yes,Computer Vision,Dislike,3,Study Group,9,10,1,Written,Dislike,1,Advanced
359,Yes,Yes,No,Data Analysis,Neutral,9,Online,9,7,10,Verbal,Dislike,9,Professional
360,No,Yes,No,Deep Learning,Neutral,8,Online,3,7,9,Written,Dislike,9,Professional
361,No,Yes,Yes,NLP,Dislike,4,Peer Discussion,3,3,7,Written,Neutral,5,Professional
362,Yes,Yes,No,Data Analysis,Dislike,6,Peer Discussion,2,4,5,Written,Enjoy Communicating,7,Intermediate
363,No,No,Yes,Deep Learning,Highly Collaborative,7,TextBook,8,7,4,Written,Enjoy Communicating,5,Professional
364,Yes,No,Yes,Data Analysis,Highly Collaborative,3,TextBook,7,5,10,Written,Dislike,3,Advanced
365,No,No,No,NLP,Neutral,3,TextBook,1,5,2,Verbal,Dislike,5,Beginner
366,No,Yes,No,Deep Learning,Neutral,2,Peer Discussion,8,3,7,Verbal,Dislike,9,Advanced
367,Yes,No,Yes,Data Analysis,Dislike,4,TextBook,8,1,3,Written,Dislike,1,Intermediate
368,No,No,Yes,NLP,Dislike,6,Study Group,1,1,3,Verbal,Dislike,5,Advanced
369,No,Yes,Yes,NLP,Highly Collaborative,6,Study Group,9,5,10,Written,Enjoy Communicating,10,Professional
370,Yes,No,Yes,Deep Learning,Dislike,9,TextBook,8,2,8,Verbal,Enjoy Communicating,7,Beginner
371,Yes,Yes,No,Data Analysis,Independent,7,TextBook,10,5,2,Written,Enjoy Communicating,8,Beginner
372,Yes,No,Yes,NLP,Neutral,4,Peer Discussion,10,9,6,Verbal,Dislike,8,Advanced
373,No,No,Yes,Computer Vision,Independent,10,Online,10,10,9,Verbal,Dislike,7,Intermediate
374,Yes,No,No,Data Analysis,Dislike,7,Study Group,6,6,10,Written,Dislike,3,Professional
375,No,No,Yes,Data Analysis,Neutral,6,Peer Discussion,5,6,5,Verbal,Dislike,6,Intermediate
376,No,Yes,Yes,Deep Learning,Independent,8,Peer Discussion,1,8,4,Verbal,Enjoy Communicating,7,Professional
377,No,Yes,Yes,NLP,Independent,4,TextBook,9,9,6,Verbal,Dislike,5,Intermediate
378,Yes,No,No,Data Analysis,Highly Collaborative,4,Peer Discussion,9,8,3,Verbal,Neutral,4,Intermediate
379,No,Yes,No,Deep Learning,Neutral,5,Online,6,10,5,Written,Enjoy Communicating,3,Professional
380,No,Yes,Yes,Computer Vision,Dislike,4,TextBook,4,5,5,Written,Enjoy Communicating,9,Intermediate
381,Yes,Yes,No,NLP,Neutral,10,TextBook,3,5,2,Verbal,Enjoy Communicating,6,Advanced
382,No,Yes,No,Computer Vision,Dislike,10,Online,8,2,7,Verbal,Dislike,5,Beginner
383,Yes,No,No,Deep Learning,Neutral,10,TextBook,1,2,5,Written,Neutral,5,Professional
384,No,No,No,Computer Vision,Neutral,1,Study Group,2,5,3,Written,Neutral,7,Beginner
385,No,No,No,NLP,Dislike,2,Online,6,6,1,Verbal,Dislike,3,Advanced
386,Yes,No,Yes,Data Analysis,Neutral,1,TextBook,10,10,2,Verbal,Dislike,1,Beginner
387,No,Yes,Yes,Data Analysis,Independent,1,TextBook,1,9,2,Verbal,Dislike,9,Professional
388,Yes,No,No,Deep Learning,Highly Collaborative,10,Online,5,8,6,Written,Enjoy Communicating,10,Advanced
389,No,No,No,Deep Learning,Dislike,9,TextBook,8,5,4,Written,Enjoy Communicating,6,Advanced
390,Yes,Yes,No,NLP,Neutral,6,Peer Discussion,5,7,10,Written,Dislike,7,Beginner
391,No,Yes,Yes,Computer Vision,Independent,1,TextBook,6,1,4,Written,Neutral,4,Beginner
392,No,Yes,Yes,Deep Learning,Independent,8,Online,4,4,6,Verbal,Dislike,10,Intermediate
393,No,No,No,Computer Vision,Independent,1,Peer Discussion,3,1,10,Verbal,Dislike,1,Advanced
394,No,No,No,Data Analysis,Dislike,3,Online,6,9,10,Verbal,Enjoy Communicating,4,Advanced
395,Yes,Yes,No,Deep Learning,Highly Collaborative,1,Peer Discussion,2,7,5,Verbal,Dislike,4,Professional
396,Yes,Yes,Yes,Computer Vision,Neutral,4,Study Group,3,10,9,Written,Dislike,1,Advanced
397,No,Yes,No,Data Analysis,Dislike,2,Peer Discussion,7,8,7,Written,Enjoy Communicating,8,Intermediate
398,No,No,Yes,Computer Vision,Dislike,10,Peer Discussion,6,1,5,Written,Dislike,3,Professional
399,No,No,No,NLP,Dislike,8,Study Group,1,6,8,Written,Neutral,6,Intermediate
400,Yes,No,Yes,NLP,Neutral,4,Peer Discussion,6,6,1,Verbal,Dislike,6,Professional
401,Yes,No,Yes,Computer Vision,Neutral,6,Study Group,10,7,4,Written,Enjoy Communicating,3,Professional
402,Yes,No,No,Deep Learning,Neutral,8,TextBook,7,3,1,Written,Enjoy Communicating,7,Beginner
403,Yes,Yes,Yes,Computer Vision,Independent,10,Peer Discussion,7,9,2,Verbal,Enjoy Communicating,3,Advanced
404,Yes,No,Yes,Data Analysis,Independent,1,Peer Discussion,10,5,3,Written,Dislike,2,Intermediate
405,No,Yes,No,Data Analysis,Neutral,6,Peer Discussion,7,8,10,Verbal,Neutral,4,Beginner
406,Yes,Yes,Yes,NLP,Independent,1,TextBook,3,2,3,Verbal,Enjoy Communicating,3,Intermediate
407,Yes,No,No,Deep Learning,Dislike,3,TextBook,4,8,4,Written,Enjoy Communicating,1,Advanced
408,Yes,Yes,Yes,NLP,Independent,9,Peer Discussion,1,8,3,Written,Dislike,6,Professional
409,No,Yes,Yes,Data Analysis,Independent,5,Study Group,5,2,5,Written,Dislike,8,Beginner
410,Yes,No,No,Computer Vision,Neutral,8,Peer Discussion,3,2,5,Written,Neutral,10,Professional
411,Yes,No,No,Deep Learning,Highly Collaborative,1,Online,2,3,3,Verbal,Neutral,4,Beginner
412,Yes,Yes,No,Data Analysis,Dislike,5,TextBook,9,5,5,Verbal,Neutral,10,Advanced
413,Yes,Yes,Yes,NLP,Independent,7,Peer Discussion,4,8,4,Written,Enjoy Communicating,7,Beginner
414,No,No,No,Data Analysis,Highly Collaborative,9,TextBook,7,9,3,Verbal,Enjoy Communicating,3,Intermediate
415,Yes,Yes,Yes,Deep Learning,Dislike,7,Study Group,8,2,2,Verbal,Neutral,7,Beginner
416,Yes,Yes,No,NLP,Highly Collaborative,2,TextBook,3,9,4,Written,Neutral,1,Professional
417,Yes,Yes,Yes,NLP,Neutral,2,Peer Discussion,5,7,5,Written,Enjoy Communicating,9,Intermediate
418,Yes,Yes,Yes,Deep Learning,Dislike,2,Online,8,1,9,Written,Enjoy Communicating,7,Advanced
419,Yes,Yes,No,Computer Vision,Dislike,4,Online,5,5,5,Written,Neutral,3,Professional
420,No,No,Yes,Computer Vision,Independent,2,Peer Discussion,6,7,3,Written,Dislike,8,Intermediate
421,Yes,No,No,Data Analysis,Independent,10,Study Group,3,1,4,Written,Dislike,10,Professional
422,Yes,Yes,No,Data Analysis,Neutral,8,Online,5,5,3,Verbal,Neutral,4,Intermediate
423,No,No,Yes,NLP,Dislike,9,TextBook,7,6,2,Verbal,Dislike,8,Beginner
424,Yes,Yes,No,NLP,Independent,7,Online,9,10,9,Verbal,Enjoy Communicating,1,Intermediate
425,Yes,Yes,No,Deep Learning,Highly Collaborative,10,Peer Discussion,7,3,1,Verbal,Dislike,9,Advanced
426,Yes,Yes,Yes,Computer Vision,Independent,10,Study Group,1,5,8,Written,Enjoy Communicating,4,Professional
427,Yes,No,No,Deep Learning,Independent,9,Peer Discussion,7,9,5,Verbal,Dislike,5,Advanced
428,No,Yes,Yes,Deep Learning,Highly Collaborative,7,Peer Discussion,4,6,9,Written,Dislike,7,Beginner
429,No,Yes,No,Deep Learning,Independent,8,Study Group,2,2,3,Written,Dislike,2,Advanced
430,Yes,No,Yes,Deep Learning,Independent,8,Study Group,10,3,6,Verbal,Dislike,5,Intermediate
431,Yes,No,No,NLP,Dislike,6,TextBook,10,5,5,Verbal,Enjoy Communicating,3,Intermediate
432,No,Yes,Yes,Data Analysis,Highly Collaborative,5,Study Group,4,5,3,Written,Dislike,2,Beginner
433,No,No,Yes,NLP,Dislike,8,TextBook,6,5,2,Verbal,Dislike,4,Beginner
434,No,No,Yes,Computer Vision,Highly Collaborative,10,Peer Discussion,7,4,4,Written,Dislike,1,Professional
435,Yes,No,No,Deep Learning,Independent,3,Study Group,9,6,6,Verbal,Enjoy Communicating,6,Intermediate
436,Yes,Yes,Yes,Computer Vision,Neutral,8,Study Group,3,8,6,Verbal,Enjoy Communicating,6,Intermediate
437,No,Yes,Yes,Data Analysis,Highly Collaborative,3,Online,7,9,6,Verbal,Dislike,8,Beginner
438,Yes,No,Yes,Deep Learning,Neutral,3,TextBook,9,6,4,Written,Enjoy Communicating,1,Professional
439,No,No,No,Deep Learning,Dislike,10,Study Group,8,1,4,Verbal,Neutral,7,Professional
440,Yes,No,Yes,NLP,Dislike,5,Online,10,1,5,Written,Enjoy Communicating,4,Advanced
441,Yes,No,No,Computer Vision,Neutral,2,TextBook,4,8,7,Verbal,Neutral,9,Professional
442,No,Yes,Yes,Deep Learning,Neutral,10,Online,1,3,2,Verbal,Neutral,1,Beginner
443,No,Yes,No,Data Analysis,Dislike,9,Online,3,9,5,Verbal,Dislike,7,Intermediate
444,No,No,No,Deep Learning,Highly Collaborative,9,Peer Discussion,9,2,1,Written,Dislike,1,Intermediate
445,No,No,No,NLP,Independent,4,TextBook,9,3,6,Written,Enjoy Communicating,3,Intermediate
446,Yes,No,Yes,NLP,Independent,7,Online,2,10,6,Verbal,Dislike,1,Beginner
447,No,No,Yes,NLP,Neutral,4,Online,3,6,9,Verbal,Neutral,8,Professional
448,No,No,Yes,Data Analysis,Independent,4,TextBook,10,8,5,Written,Dislike,6,Beginner
449,Yes,Yes,No,Computer Vision,Neutral,9,Online,9,6,9,Verbal,Neutral,2,Professional
450,Yes,Yes,No,Data Analysis,Neutral,10,Online,6,10,1,Written,Enjoy Communicating,6,Intermediate
451,No,Yes,Yes,Deep Learning,Highly Collaborative,2,TextBook,10,5,10,Verbal,Enjoy Communicating,7,Advanced
452,Yes,Yes,Yes,NLP,Highly Collaborative,6,Study Group,3,9,4,Written,Neutral,10,Beginner
453,Yes,Yes,No,Computer Vision,Neutral,2,Peer Discussion,9,8,7,Written,Dislike,8,Professional
454,Yes,Yes,No,Data Analysis,Highly Collaborative,2,TextBook,1,3,7,Written,Enjoy Communicating,1,Professional
455,No,No,No,Computer Vision,Neutral,10,TextBook,8,5,5,Written,Enjoy Communicating,7,Intermediate
456,Yes,No,Yes,NLP,Neutral,1,TextBook,1,8,7,Written,Enjoy Communicating,8,Advanced
457,Yes,No,Yes,Deep Learning,Highly Collaborative,7,Study Group,10,3,8,Verbal,Dislike,7,Advanced
458,Yes,No,Yes,Deep Learning,Neutral,10,Peer Discussion,4,8,3,Verbal,Neutral,9,Advanced
459,No,Yes,Yes,Deep Learning,Dislike,8,Online,7,8,8,Verbal,Neutral,2,Advanced
460,Yes,No,No,Data Analysis,Highly Collaborative,2,Peer Discussion,4,10,1,Verbal,Dislike,6,Professional
461,No,No,No,Deep Learning,Neutral,5,TextBook,7,6,5,Written,Dislike,6,Beginner
462,No,Yes,No,Computer Vision,Dislike,2,Online,1,6,7,Verbal,Enjoy Communicating,4,Professional
463,Yes,No,Yes,NLP,Dislike,9,Online,9,9,10,Verbal,Dislike,3,Beginner
464,Yes,Yes,Yes,Deep Learning,Highly Collaborative,8,Study Group,9,10,8,Verbal,Neutral,7,Beginner
465,No,Yes,Yes,Computer Vision,Dislike,7,Study Group,6,7,2,Written,Neutral,1,Professional
466,Yes,No,Yes,Computer Vision,Dislike,6,Peer Discussion,2,9,6,Verbal,Neutral,3,Intermediate
467,Yes,Yes,Yes,Computer Vision,Neutral,4,Peer Discussion,6,9,4,Verbal,Dislike,3,Beginner
468,Yes,No,Yes,NLP,Independent,6,Peer Discussion,8,1,4,Written,Neutral,10,Advanced
469,No,No,No,NLP,Highly Collaborative,5,TextBook,6,5,3,Verbal,Enjoy Communicating,1,Beginner
470,No,Yes,No,Deep Learning,Neutral,4,Peer Discussion,6,4,4,Written,Enjoy Communicating,3,Professional
471,Yes,No,Yes,Deep Learning,Highly Collaborative,10,Study Group,9,8,5,Verbal,Neutral,7,Professional
472,No,Yes,Yes,Data Analysis,Dislike,6,Study Group,3,9,3,Written,Dislike,8,Professional
473,No,No,No,Deep Learning,Highly Collaborative,7,Peer Discussion,10,3,2,Verbal,Dislike,5,Beginner
474,Yes,No,Yes,Deep Learning,Dislike,4,TextBook,2,7,1,Written,Dislike,5,Intermediate
475,Yes,Yes,Yes,NLP,Highly Collaborative,9,Peer Discussion,8,10,4,Verbal,Neutral,2,Advanced
476,Yes,Yes,Yes,Data Analysis,Independent,5,Online,1,5,1,Written,Neutral,3,Professional
477,Yes,No,No,Deep Learning,Highly Collaborative,9,Peer Discussion,8,2,1,Verbal,Dislike,3,Advanced
478,No,Yes,No,Deep Learning,Highly Collaborative,1,TextBook,6,9,5,Written,Neutral,10,Professional
479,Yes,No,No,NLP,Highly Collaborative,5,Study Group,8,10,4,Verbal,Dislike,10,Advanced
480,No,Yes,Yes,Data Analysis,Highly Collaborative,5,Peer Discussion,1,7,4,Written,Dislike,7,Professional
481,Yes,No,No,Computer Vision,Neutral,7,Peer Discussion,6,3,7,Written,Neutral,2,Beginner
482,No,Yes,Yes,Data Analysis,Neutral,5,Peer Discussion,5,9,10,Verbal,Enjoy Communicating,8,Professional
483,No,No,No,NLP,Neutral,8,Peer Discussion,9,8,6,Written,Neutral,8,Advanced
484,Yes,Yes,Yes,Deep Learning,Neutral,4,TextBook,8,2,2,Verbal,Enjoy Communicating,9,Intermediate
485,Yes,No,Yes,Computer Vision,Dislike,10,TextBook,4,10,9,Verbal,Dislike,1,Beginner
486,No,Yes,No,NLP,Highly Collaborative,8,TextBook,6,6,7,Verbal,Dislike,1,Advanced
487,Yes,No,No,NLP,Neutral,8,Peer Discussion,10,6,6,Verbal,Neutral,2,Professional
488,No,Yes,Yes,NLP,Dislike,4,Peer Discussion,1,6,9,Written,Enjoy Communicating,8,Intermediate
489,No,Yes,Yes,NLP,Independent,4,Study Group,7,5,7,Written,Dislike,2,Beginner
490,No,Yes,Yes,Computer Vision,Highly Collaborative,1,TextBook,1,6,6,Verbal,Neutral,4,Advanced
491,No,No,Yes,NLP,Dislike,5,Peer Discussion,4,7,4,Written,Dislike,9,Intermediate
492,No,Yes,Yes,NLP,Highly Collaborative,2,Online,6,7,1,Written,Neutral,10,Professional
493,Yes,No,No,Data Analysis,Highly Collaborative,7,Study Group,1,9,9,Written,Dislike,5,Intermediate
494,No,No,Yes,Deep Learning,Independent,7,TextBook,2,9,1,Written,Enjoy Communicating,4,Advanced
495,Yes,Yes,Yes,Computer Vision,Independent,3,TextBook,2,1,2,Verbal,Dislike,10,Advanced
496,No,Yes,Yes,Data Analysis,Independent,2,TextBook,4,1,10,Verbal,Neutral,9,Advanced
497,No,No,Yes,Computer Vision,Dislike,10,Peer Discussion,4,8,4,Written,Neutral,4,Beginner
498,Yes,No,No,Data Analysis,Dislike,4,TextBook,4,6,2,Verbal,Enjoy Communicating,10,Advanced
499,No,Yes,Yes,Computer Vision,Independent,10,Peer Discussion,7,4,4,Written,Enjoy Communicating,1,Beginner
500,No,No,Yes,Deep Learning,Independent,2,Peer Discussion,1,5,4,Verbal,Dislike,6,Intermediate
501,No,No,No,Computer Vision,Independent,8,Study Group,5,5,6,Verbal,Neutral,8,Beginner
502,No,No,Yes,Computer Vision,Highly Collaborative,1,Online,3,6,1,Verbal,Neutral,4,Beginner
503,No,Yes,No,Data Analysis,Independent,10,TextBook,5,5,4,Verbal,Dislike,9,Intermediate
504,No,Yes,Yes,NLP,Independent,1,TextBook,4,5,7,Written,Dislike,7,Advanced
505,No,Yes,Yes,Deep Learning,Independent,6,Study Group,2,10,5,Written,Enjoy Communicating,7,Beginner
506,Yes,Yes,No,Deep Learning,Highly Collaborative,9,Online,1,4,10,Verbal,Neutral,8,Advanced
507,No,No,Yes,Data Analysis,Independent,2,TextBook,1,9,6,Verbal,Dislike,3,Intermediate
508,Yes,Yes,No,NLP,Dislike,2,TextBook,2,2,1,Verbal,Dislike,8,Professional
509,Yes,No,Yes,Deep Learning,Neutral,8,Peer Discussion,1,3,6,Written,Dislike,1,Beginner
510,Yes,Yes,Yes,Computer Vision,Neutral,8,TextBook,5,10,5,Written,Dislike,1,Beginner
511,No,Yes,No,NLP,Highly Collaborative,7,Peer Discussion,6,1,10,Written,Dislike,5,Professional
512,Yes,Yes,Yes,Data Analysis,Highly Collaborative,1,Study Group,4,9,5,Verbal,Neutral,5,Professional
