emp_id,date,role,category,feedback,sentiment
6870,2020-02-26,Supervisor,Cleanliness,Cleanliness issues require a more proactive approach.,negative
5946,2020-12-13,Supervisor,Stress,The company's focus on reducing workload during peak times is beneficial.,positive
2861,2023-06-10,Employee,Cleanliness,Restrooms are usually clean with occasional lapses.,neutral
2012,2023-11-01,Manager,Cleanliness,Regular sanitization adds an extra layer of safety.,positive
9187,2021-09-07,Manager,Cleanliness,The organization's commitment to cleanliness wavers.,negative
6039,2022-04-28,Supervisor,Harassment and Discrimination,Fear of repercussions hinders employees from reporting discrimination.,neutral
9753,2020-04-12,Employee,Stress,Insufficient training on stress management techniques leaves employees unsupported.,negative
4738,2023-07-28,Employee,Harassment and Discrimination,Employee resource groups play a vital role in promoting diversity.,positive
7505,2020-03-07,Manager,Work-Life Balance,The company's support for remote work options is ongoing.,neutral
6065,2021-08-27,Supervisor,Career Development,Networking events facilitate career-building connections.,positive
1533,2022-06-07,Manager,Departmental level work,Operations' streamlined processes have both pros and cons.,neutral
2697,2020-10-17,Manager,Cleanliness,Cleanliness is a reflection of the organization's values.,positive
9814,2022-07-24,Manager,Work-Life Balance,The company's commitment to preventing overwork needs reinforcement.,negative
4439,2020-12-14,Supervisor,Harassment and Discrimination,Allyship resources need to be more readily available.,neutral
2916,2020-08-28,Employee,Career Development,Career development resources and guidance are lacking.,negative
3281,2023-11-25,Employee,Career Development,The company invests in training to bridge skill gaps.,positive
5584,2023-10-24,Manager,Cleanliness,It's becoming challenging to work in a clean and tidy environment.,negative
7777,2020-01-21,Employee,Work-Life Balance,Encouraging employees to utilize paid time off may vary by team.,negative
7213,2021-01-22,Manager,Work-Life Balance,Encouraging employees to take regular breaks has positively impacted work-life balance.,positive
3940,2021-08-10,Supervisor,Cleanliness,The organization's cleanliness practices meet some health guidelines.,neutral
3742,2020-02-05,Employee,Career Development,The HR department provides inadequate guidance on career paths.,negative
7977,2020-09-16,Supervisor,Career Development,The company's commitment to employee growth is evident.,positive
7716,2023-02-28,Employee,Career Development,Career workshops and seminars offer mixed benefits.,neutral
4077,2020-01-11,Employee,Work-Life Balance,Resources for time management and prioritization are available.,neutral
4444,2022-01-13,Supervisor,Harassment and Discrimination,Allyship resources need to be more readily available.,neutral
1876,2022-04-10,Supervisor,Career Development,"Cross-training opportunities are scarce, limiting career options.",negative
3495,2020-08-04,Employee,Work-Life Balance,Support for managing stress differs across teams.,neutral
8861,2020-11-22,Manager,Cleanliness,Regular sanitization adds a basic layer of safety.,neutral
6591,2022-12-13,Supervisor,Departmental level work,Production delays require a closer look to determine their causes.,neutral
3382,2020-02-24,Employee,Harassment and Discrimination,Management should allocate more resources to employee diversity initiatives.,neutral
5115,2022-03-16,Manager,Departmental level work,Aligning Marketing campaigns with Sales goals is a point of discussion.,neutral
8217,2021-05-21,Employee,Harassment and Discrimination,Fear of repercussions hinders employees from reporting discrimination.,negative
9582,2020-11-14,Supervisor,Stress,The management team's transparency about challenging times helps alleviate stress.,positive
3073,2022-05-06,Supervisor,Cleanliness,The organization's commitment to cleanliness is reasonable.,neutral
4617,2020-03-02,Employee,Harassment and Discrimination,Offering training on cultural sensitivity is a step in the right direction.,positive
7927,2023-09-20,Employee,Stress,The company's approach to reducing stress is not proactive or sustainable.,negative
6076,2020-03-11,Employee,Departmental level work,Development programs in HR are not addressing employees' needs.,negative
8218,2022-09-01,Supervisor,Career Development,Career growth is perceived as stagnant and unattainable.,negative
7520,2023-07-25,Employee,Career Development,Internal mobility for career progression is discouraged.,negative
3103,2022-12-13,Supervisor,Stress,The impact of stress on team dynamics is considered.,neutral
9298,2021-04-05,Manager,Work-Life Balance,The availability of wellness resources is acknowledged as helpful.,neutral
3002,2020-06-01,Manager,Departmental level work,HR's talent retention efforts have yielded mixed results.,neutral
6427,2023-12-05,Employee,Cleanliness,Cleanliness practices somewhat affect the brand image.,neutral
7619,2020-11-11,Supervisor,Career Development,Career paths and growth opportunities are somewhat defined.,neutral
7165,2022-08-11,Supervisor,Stress,Employee well-being is a multifaceted concern.,neutral
3443,2021-12-18,Supervisor,Stress,Employees have access to resources for managing stress.,neutral
7322,2022-09-06,Employee,Work-Life Balance,Flexibility in work hours is seen as a potential benefit.,neutral
8703,2021-06-25,Supervisor,Stress,The company's response to employee feedback on stress has been lacking.,negative
5160,2022-06-08,Manager,Stress,Regular communication about workplace changes helps reduce stress.,positive
9348,2022-03-15,Manager,Work-Life Balance,The flexibility to adjust work hours for family needs is lacking.,negative
8447,2023-02-11,Employee,Departmental level work,The contract approval process with Legal is a subject for analysis.,neutral
9266,2023-12-04,Manager,Stress,Inconsistent policies and procedures contribute to stress and confusion.,negative
3303,2023-10-25,Manager,Harassment and Discrimination,The diversity and inclusion initiatives are making our workplace more welcoming and inclusive.,positive
7108,2021-06-20,Supervisor,Cleanliness,Cleanliness standards moderately meet expectations.,neutral
1246,2022-02-07,Employee,Career Development,Career development opportunities are abundant and accessible.,positive
9467,2021-07-20,Manager,Stress,High turnover due to stress and burnout is impacting team dynamics.,negative
7708,2023-05-20,Manager,Departmental level work,The Marketing team's creativity shines through in recent campaigns.,positive
8217,2021-04-18,Employee,Career Development,Talent development programs enhance long-term career prospects.,positive
9173,2021-11-14,Manager,Stress,Stress management resources are not easily accessible to all employees.,negative
4537,2020-07-23,Supervisor,Harassment and Discrimination,The anti-retaliation policy needs to be reinforced more consistently.,neutral
6362,2022-01-16,Supervisor,Harassment and Discrimination,Offering training on cultural sensitivity is a step in the right direction.,positive
9932,2022-12-28,Employee,Stress,The company acknowledges the importance of work-life balance.,neutral
4452,2023-07-17,Manager,Departmental level work,The feedback analysis process is disorganized and ineffective.,negative
7184,2020-08-24,Manager,Harassment and Discrimination,The company's commitment to addressing harassment and discrimination is commendable.,positive
2922,2023-10-25,Manager,Work-Life Balance,Employees have the freedom to adjust their work hours to suit their needs.,positive
1294,2020-07-13,Manager,Departmental level work,Quality Assurance's performance in maintaining product standards is debatable.,neutral
5763,2020-10-03,Supervisor,Work-Life Balance,The company's approach to ensuring a manageable workload is effective.,positive
5992,2023-08-08,Manager,Work-Life Balance,Work-related stress can be influenced by team dynamics.,neutral
6149,2023-09-22,Employee,Departmental level work,Integrating R&D findings into Marketing strategies is a matter of debate.,neutral
5577,2022-10-02,Employee,Career Development,Employees have some awareness of career advancement options.,neutral
4114,2020-07-25,Manager,Stress,The company's commitment to employee well-being is reflected in its policies.,positive
4278,2022-02-26,Employee,Work-Life Balance,Supportive colleagues contribute to a positive work-life balance culture.,positive
8192,2021-12-13,Manager,Harassment and Discrimination,We need more resources to combat microaggressions effectively.,negative
2471,2023-02-25,Employee,Harassment and Discrimination,Employees need more support and encouragement to report discrimination.,negative
3742,2022-09-13,Supervisor,Stress,Employee recognition programs help reduce stress by boosting morale.,positive
6113,2021-12-27,Employee,Stress,The company recognizes the need for stress reduction but needs more action.,neutral
3990,2021-05-09,Supervisor,Stress,Employee well-being initiatives are evolving.,neutral
7697,2020-11-03,Employee,Work-Life Balance,The company's support for remote work options is ongoing.,neutral
9177,2020-04-01,Manager,Stress,The company's commitment to employee well-being is reflected in its policies.,positive
3894,2020-11-12,Supervisor,Departmental level work,Streamlining the contract approval process with Legal is beneficial.,positive
5582,2022-09-16,Manager,Harassment and Discrimination,We should involve employees in diversity-focused program design.,positive
3559,2023-09-20,Supervisor,Cleanliness,Shared spaces are clean but not without issues.,neutral
5941,2022-06-25,Employee,Harassment and Discrimination,Celebrating cultural heritage months showcases our commitment to diversity.,positive
7355,2020-11-05,Manager,Departmental level work,Transparency in Operations is a topic under consideration.,neutral
6176,2020-12-07,Supervisor,Departmental level work,Quality control in Operations is a subject of ongoing improvement.,neutral
7235,2020-04-11,Manager,Harassment and Discrimination,Prompt action is required to address pay disparities related to discrimination.,neutral
7592,2020-12-27,Manager,Harassment and Discrimination,Diversity and inclusion assessments should be more in-depth.,negative
5495,2021-04-07,Manager,Harassment and Discrimination,Merit-based promotions should be a higher priority.,neutral
7825,2021-11-19,Supervisor,Career Development,Personal aspirations may align or diverge from career goals.,neutral
5552,2022-06-26,Manager,Career Development,Employee success stories inspire others in their career journeys.,positive
8302,2020-12-07,Supervisor,Work-Life Balance,Work-from-home policies do not support a balanced work-life routine.,negative
9916,2023-08-17,Manager,Harassment and Discrimination,Employee resource groups play a vital role in promoting diversity.,positive
2882,2022-03-28,Employee,Departmental level work,"Sales consistently exceeds targets, which is commendable.",positive
1929,2022-09-22,Manager,Cleanliness,Cleanliness measures are transparent and well-communicated.,positive
8133,2023-08-01,Supervisor,Departmental level work,Aligning Design with Marketing for a cohesive brand image is a work in progress.,neutral
6830,2021-01-08,Employee,Cleanliness,Cleanliness issues require a more proactive approach.,negative
7513,2021-09-18,Supervisor,Stress,Offering mental health days as part of employee benefits is a positive initiative.,positive
2748,2021-07-12,Manager,Harassment and Discrimination,Awareness campaigns to prevent discrimination need improvement.,negative
2948,2023-05-12,Supervisor,Harassment and Discrimination,The company's efforts to promote diversity are reflected in our inclusive culture.,positive
7851,2022-02-16,Employee,Stress,The impact of stress on employee health and productivity is a significant concern.,negative
2133,2021-05-12,Supervisor,Departmental level work,"Budget priorities are not aligned with strategic goals, causing inefficiencies.",negative
8195,2022-09-21,Employee,Work-Life Balance,Remote work options have made it easier to handle personal commitments.,positive
5081,2021-10-24,Employee,Harassment and Discrimination,Inclusivity being a core value of our organization fosters a positive environment.,positive
4338,2020-04-14,Manager,Cleanliness,Sanitization practices seem inadequate and concerning.,negative
2814,2020-07-19,Employee,Work-Life Balance,The company recognizes the importance of work-life balance.,neutral
3832,2022-06-15,Employee,Career Development,Employee success stories in career development are recognized occasionally.,neutral
3044,2020-07-01,Employee,Stress,High-pressure deadlines and unrealistic expectations create a stressful environment.,negative
3906,2022-04-02,Supervisor,Cleanliness,Cleanliness doesn't align with health guidelines.,negative
7800,2023-09-02,Manager,Stress,Regular communication about workplace changes helps reduce stress.,positive
6113,2020-03-08,Employee,Departmental level work,IT's maintenance of our technology infrastructure is up for evaluation.,neutral
6120,2023-04-13,Supervisor,Harassment and Discrimination,Offering training on cultural sensitivity is a positive step towards inclusivity.,positive
8959,2020-07-04,Supervisor,Work-Life Balance,The availability of wellness programs contributes to better work-life balance.,positive
1342,2022-03-03,Manager,Harassment and Discrimination,Diversity and inclusion surveys should be conducted more frequently.,negative
6568,2021-09-02,Employee,Cleanliness,Cleanliness in the kitchen and break areas is exceptional.,positive
2035,2022-02-03,Supervisor,Career Development,Leadership skills development is neglected.,negative
4925,2023-10-19,Supervisor,Work-Life Balance,The company's understanding of the need for personal time varies.,negative
7947,2023-07-27,Employee,Career Development,Employee success stories inspire others in their career journeys.,positive
3581,2023-03-08,Manager,Stress,Offering mental health days as part of employee benefits is a positive initiative.,positive
5113,2021-05-03,Employee,Career Development,The company's career development approach is a mix of proactive and reactive.,neutral
6550,2023-01-19,Manager,Harassment and Discrimination,Employee resource groups are doing an excellent job in promoting diversity.,positive
5625,2021-08-02,Supervisor,Stress,Stress-related challenges vary among employees.,neutral
5785,2023-03-22,Supervisor,Career Development,Leadership skills development is neglected.,negative
8106,2021-02-05,Employee,Harassment and Discrimination,The company's commitment to creating a diverse workforce is commendable.,positive
8738,2020-11-14,Manager,Stress,Providing opportunities for professional development can reduce career-related stress.,positive
7208,2022-08-18,Supervisor,Harassment and Discrimination,We appreciate the HR department's efforts in handling harassment complaints professionally.,positive
2916,2021-04-01,Supervisor,Cleanliness,The organization's cleanliness practices meet some health guidelines.,neutral
2048,2022-07-11,Employee,Work-Life Balance,"Work-life balance initiatives, such as remote work options, are highly appreciated.",positive
2593,2022-02-07,Supervisor,Career Development,Challenging projects for career growth are hard to come by.,negative
6129,2023-10-27,Manager,Stress,Lack of flexibility in remote work options adds to employee stress.,negative
8439,2022-04-28,Employee,Stress,The company's recognition of the importance of self-care is commendable.,positive
2296,2023-07-22,Manager,Departmental level work,Environmental Health and Safety's safety protocols are being reviewed.,neutral
8255,2020-09-06,Employee,Career Development,Performance reviews do not adequately address career development.,negative
3051,2020-07-26,Supervisor,Stress,Employee recognition programs help reduce stress by boosting morale.,positive
2444,2021-03-06,Employee,Work-Life Balance,Encouragement to use paid time off may not be consistently promoted.,negative
2576,2020-06-10,Employee,Cleanliness,The workplace is exceptionally clean and well-maintained.,positive
8314,2021-01-25,Employee,Harassment and Discrimination,There's a lack of transparency in handling discrimination cases.,negative
3738,2020-01-16,Employee,Career Development,Employee empowerment for career planning is discouraged.,negative
6957,2020-06-05,Employee,Cleanliness,Regular cleaning routines are a vital part of our work culture.,positive
1597,2021-08-10,Employee,Departmental level work,The feedback analysis process is disorganized and ineffective.,negative
9551,2020-08-03,Manager,Stress,"There's a lack of work-life balance, contributing to stress and dissatisfaction.",negative
9407,2021-12-09,Manager,Departmental level work,"Sales consistently exceeds targets, but forecasting accuracy remains poor.",negative
9788,2021-05-18,Supervisor,Work-Life Balance,The company's support for remote work options is ongoing.,neutral
1350,2023-01-04,Supervisor,Departmental level work,Maintaining rigorous quality control in Operations is essential.,positive
9568,2023-10-12,Supervisor,Career Development,Personal aspirations may align or diverge from career goals.,neutral
7803,2021-05-28,Manager,Cleanliness,Cleanliness positively impacts the overall work environment.,positive
8863,2021-09-14,Manager,Stress,The company's response to stress during challenging times needs improvement.,negative
8186,2022-05-16,Employee,Work-Life Balance,Work-from-home policies do not adequately support work-life balance.,negative
8259,2022-10-10,Employee,Career Development,The company fosters a culture of continuous learning and growth.,positive
